producto,marca,descripcion,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Gaseosa Villa Del Sur Levité pomelo fizz pet 575 cc.,Levité,,https://www.carrefour.com.ar/gaseosa-villa-del-sur-levite-pomelo-fizz-pet-575-cc-696807/p,https://carrefourar.vtexassets.com/arquivos/ids/270786/7790315101181_01.jpg?v=1771416935,696807,89974,133.79,133.79
Vino blanco Dadá malbec white 750 cc.,Dadá,,https://www.carrefour.com.ar/vino-blanco-dada-malbec-white-750-cc-690116/p,https://carrefourar.vtexassets.com/arquivos/ids/229210/7791540054020_01.jpg?v=1771429850,690116,83649,1105.0,1105.0
Vino tinto Sexy Fish malbec 750 cc.,Sexy Fish,,https://www.carrefour.com.ar/vino-tinto-sexy-fish-malbec-750-cc-690441/p,https://carrefourar.vtexassets.com/arquivos/ids/299884/7792319971234_01.jpg?v=1771445718,690441,83988,988.0,988.0
Agua saborizada pera sin gas Villa del Sur Levité 2.5 l.,Levité,,https://www.carrefour.com.ar/agua-saborizada-pera-sin-gas-villa-del-sur-levite-25-l/p,https://carrefourar.vtexassets.com/arquivos/ids/268839/7790315101105_01.jpg?v=1771456040,671556,30652,463.0,463.0
Vino tinto Dilema Day malbec 750 cc.,Dilema Day,,https://www.carrefour.com.ar/vino-tinto-dilema-day-malbec-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/299881/7790314008191_01.jpg?v=1771443512,661539,15576,935.0,935.0
Vino tinto malbec La Celia c. franc res. 750 cc.,La Celia,,https://www.carrefour.com.ar/vino-tinto-malbec-la-celia-c-franc-res-750-cc-611893/p,https://carrefourar.vtexassets.com/arquivos/ids/261160/7798141877089_01.jpg?v=1771451689,611893,93772,1640.0,1640.0
Hard seltzer Mingo  limon pepino y gengibre 355 cc.,Mingo,,https://www.carrefour.com.ar/hard-seltzer-mingo--limon-pepino-y-gengibre-355-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/237919/7791540053948_01.jpg?v=1771434680,693132,85766,209.0,209.0
Gaseosa Carrefour regular sabor naranja 2.25 lts.,Carrefour,,https://www.carrefour.com.ar/gaseosa-carrefour-regular-sabor-naranja-225-lts-681710/p,https://carrefourar.vtexassets.com/arquivos/ids/322086/7791720025062_02.jpg?v=1771454323,681710,100694,239.04,239.04
Frizante Frizze limonata italian lata 473 cc.,Frizze,,https://www.carrefour.com.ar/frizante-frizze-limonata-italian-lata-473-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/270863/7791540053160_01.jpg?v=1771416650,687375,80448,381.0,381.0
Vino tintillo Santa Julia lata 269 cc.,Santa Julia,,https://www.carrefour.com.ar/vino-tintillo-santa-julia-lata-269-cc-39928/p,https://carrefourar.vtexassets.com/arquivos/ids/300084/7791728239324_01.jpg?v=1771434884,670551,28070,505.0,505.0
Cerveza roja Imperial botella retornable 1 l.,Imperial,,https://www.carrefour.com.ar/cerveza-roja-imperial-botella-retornable-1-l-702437/p,https://carrefourar.vtexassets.com/arquivos/ids/250242/7793147572747_02.jpg?v=1771456397,702437,98164,604.0,604.0
Vino tinto cabernet sauvignon Dadá 750 cc.,Dadá,,https://www.carrefour.com.ar/vino-tinto-cabernet-sauvignon-dada-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/240364/7791540047855_01.jpg?v=1771443228,586182,10862,1135.0,1135.0
Cerveza rubia Rabieta golden ale 473 cc.,Rabieta,,https://www.carrefour.com.ar/cerveza-rubia-rabieta-golden-ale-473-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/270746/7798339250144_01.jpg?v=1771442644,646252,11114,392.25,392.25
