producto|marca|descripcion|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
Fideos spaghetti Matarazzo integral 500 g.|Matarazzo||Almacen|https://www.carrefour.com.ar/fideos-spaghetti-matarazzo-integral-500-g/p|614322|4734|304.0|304.0
Fideos mostachol Favorita hierro 500 g.|Favorita||Almacen|https://www.carrefour.com.ar/fideos-mostachol-favorita-hierro-500-g-694578/p|694578|87484|130.2|130.2
Arvejas secas Carrefour remojadas en lata 300 g.|Carrefour||Almacen|https://www.carrefour.com.ar/arvejas-secas-carrefour-remojadas-en-lata-300-g-696085/p|696085|89164|102.09|102.09
Sal gruesa Carrefour 1 kg.|Carrefour||Almacen|https://www.carrefour.com.ar/sal-gruesa-carrefour-1-kg/p|576763|24224|153.0|153.0
Harina de trigo Blancaflor leudante 1 kg.|Blancaflor||Almacen|https://www.carrefour.com.ar/harina-de-trigo-blancaflor-leudante-1-kg/p|556084|44603|308.0|308.0
Vinagre de alcohol Silva línea gourmet 960 cc.|Silva||Almacen|https://www.carrefour.com.ar/vinagre-de-alcohol-silva-linea-gourmet-960-cc/p|678530|49156|118.0|118.0
Pure de tomates Alco 520 g.|Alco||Almacen|https://www.carrefour.com.ar/pure-de-tomates-alco-520-g/p|669777|35298|146.5|146.5
Jugo de limón Minerva pet 500 cc.|Minerva||Almacen|https://www.carrefour.com.ar/jugo-de-limon-minerva-pet-500-cc/p|557794|4325|280.0|280.0
Fideos tallarines Terrabusi 500 g.|Terrabusi||Almacen|https://www.carrefour.com.ar/fideos-tallarines-terrabusi-500-g/p|532129|20460|175.5|175.5
Lentejas La Abadía bolsa 400 g.|La Abadía||Almacen|https://www.carrefour.com.ar/lentejas-la-abadia-bolsa-400-g/p|676658|43062|495.0|495.0
Ketchup Hellmanns doy pack 500 g.|Hellmanns||Almacen|https://www.carrefour.com.ar/ketchup-hellmanns-doy-pack-500-g-710571/p|710571|114746|367.21|367.21
Arroz largo fino selecto Molinos Ala 500 g.|Molinos Ala||Almacen|https://www.carrefour.com.ar/arroz-largo-fino-selecto-molinos-ala-500-g/p|680338|52897|141.0|141.0
Harina integral Pureza 1 kg.|Pureza||Almacen|https://www.carrefour.com.ar/harina-integral-pureza-1-kg/p|645406|7002|238.29|238.29
Duraznos Carrefour cubeteados 820 g.|Carrefour||Almacen|https://www.carrefour.com.ar/duraznos-carrefour-cubeteados-820-g-17617/p|568945|17617|499.0|499.0
Mayonesa clásica Hellmann&apos;s sin tacc doypack 950 g.|Hellmanns|La Mayonesa Hellmann´s es fuente de vitamina E y contiene Omega 6 Nuestra mayonesa está hecha con aceite de origen sustentable y es 100% de girasol Aderezo a base de huevos de campo La mayonesa Hellmann´s Clásica es Sin Tacc ¿Ya probaste la nueva Mayonesa? ¡Es rica y cremosa! La nueva Mayonesa Hellmanns es ideal para tus sándwiches, ensaladas, carnes, hamburguesas, milanesas, dips y mucho más|Almacen|https://www.carrefour.com.ar/mayonesa-clasica-hellmann-s-sin-tacc-doypack-950-g-694756/p|694756|87800|663.0|663.0
Puré de papas instantáneo Carrefour 200 g.|Carrefour|&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_pure_papas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;|Almacen|https://www.carrefour.com.ar/pure-de-papas-instantaneo-carrefour-200-g/p|633586|9373|477.0|477.0
Choclo cremoso amarillo Inalpa lata 300 g.|Inalpa||Almacen|https://www.carrefour.com.ar/choclo-cremoso-amarillo-inalpa-lata-300-g-699031/p|699031|93767|136.9|136.9
Vinagre de alcohol Menoyo 1 l.|Menoyo||Almacen|https://www.carrefour.com.ar/vinagre-de-alcohol-menoyo-1-l/p|181618|9505|198.86|198.86
Arroz listo Gallo vegetales 240 g.|Gallo||Almacen|https://www.carrefour.com.ar/arroz-listo-gallo-vegetales-240-g-30125/p|660192|24362|360.0|360.0
Gelatina frutilla light Exquisita 25 g.|Exquisita||Almacen|https://www.carrefour.com.ar/gelatina-frutilla-light-exquisita-25-g/p|673423|39318|149.5|149.5
Ajo en polvo La Parmesana 25 g.|La Parmesana||Almacen|https://www.carrefour.com.ar/ajo-en-polvo-la-parmesana-25-g/p|262582|7526|95.4|95.4
Esencia de vainilla Alicante pet 100 cc.|Alicante||Almacen|https://www.carrefour.com.ar/esencia-de-vainilla-alicante-pet-100-cc-690049/p|690049|83668|204.01|204.01
Aceitunas verdes Nucete descarozadas 80 g.|Nucete||Almacen|https://www.carrefour.com.ar/aceitunas-verdes-nucete-descarozadas-80-g/p|153873|24975|160.0|160.0
Maicitos queso horneado Pehuamar bolsa 125 g.|Pehuamar||Almacen|https://www.carrefour.com.ar/maicitos-queso-horneado-pehuamar-bolsa-125-g/p|676517|43629|288.51|288.51
Pate de foie Swift lata 90 g.|Swift||Almacen|https://www.carrefour.com.ar/pate-de-foie-swift-lata-90-g/p|8126|17424|157.5|157.5
Arroz largo fino Luchetti 00000 caja 1 kg.|Luchetti||Almacen|https://www.carrefour.com.ar/arroz-largo-fino-luchetti-00000-caja-1-kg/p|673595|37547|315.0|315.0
Maní pelado salado Croppers bolsa 340 g.|Croppers||Almacen|https://www.carrefour.com.ar/mani-pelado-salado-croppers-bolsa-340-g/p|672795|36270|431.0|431.0
Lentejas Olinto bolsa 400 g.|Olinto||Almacen|https://www.carrefour.com.ar/lentejas-olinto-bolsa-400-g/p|530972|14815|684.0|684.0
Aceite de girasol Legitimo 3 lts.|Legitimo||Almacen|https://www.carrefour.com.ar/aceite-de-girasol-legitimo-3-lts-700953/p|700953|97686|936.63|936.63
Salsa lista pizza Knorr 340 g|Knorr||Almacen|https://www.carrefour.com.ar/salsa-lista-pizza-knorr-340-g/p|670231|27649|200.0|200.0
Fideos spaghetti Terrabusi 500 g.|Terrabusi||Almacen|https://www.carrefour.com.ar/fideos-spaghetti-terrabusi-500-g/p|526461|18976|170.32|170.32
Polenta instantanea Presto Pronta 500 g.|Presto Pronta||Almacen|https://www.carrefour.com.ar/polenta-instantanea-prestopronta-bolsa-x-500-grs/p|100841|13003|288.5|288.5
Papas fritas Carrefour clásicas 140 g.|Carrefour|&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_papas_fritas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;|Almacen|https://www.carrefour.com.ar/papas-fritas-carrefour-clasicas-140-g-36048/p|642105|7634|379.03|379.03
Risotto Gallo 4 quesos 240 g.|Gallo||Almacen|https://www.carrefour.com.ar/risotto-gallo-4-quesos-240-g-21086/p|658276|21086|532.0|532.0
Bicarbonato de sodio Alicante bolsa 50 g.|Alicante||Almacen|https://www.carrefour.com.ar/bicarbonato-de-sodio-alicante-bolsa-50-g-690052/p|690052|83643|103.0|103.0
Fideos tirabuzon hierro Favorita 500 g.|Favorita||Almacen|https://www.carrefour.com.ar/fideos-tirabuzon-hierro-favorita-500-g-694577/p|694577|86839|130.2|130.2
Aceitunas verdes Castell descarozadas doy pack 140 g.|Castell||Almacen|https://www.carrefour.com.ar/aceitunas-verdes-descarozadas-castell-dp-x-140-grs/p|672442|34061|315.0|315.0
Atún en aceite La campagnola lomitos 170 g.|La Campagnola||Almacen|https://www.carrefour.com.ar/atun-en-aceite-la-campagnola-lomitos-170-g-699549-699549/p|699549|95916|1025.0|1025.0
Arroz parboil Gallo oro en bolsa 500 g.|Gallo||Almacen|https://www.carrefour.com.ar/arroz-parboil-gallo-oro-en-bolsa-500-g-718788/p|718788|140556|272.5|272.5
Polvo para Hornear Royal 100 g.|Royal||Almacen|https://www.carrefour.com.ar/polvo-para-hornear-royal-100-g/p|617373|13807|186.5|186.5
Mayonesa Heinz con jugo de limón 350 g.|Heinz||Almacen|https://www.carrefour.com.ar/mayonesa-heinz-con-jugo-de-limon-350-g-21980/p|631511|21980|414.0|414.0
Arroz listo Gallo queso 240 g.|Gallo||Almacen|https://www.carrefour.com.ar/arroz-listo-gallo-queso-240-g-20568/p|660191|20568|360.0|360.0
Papas fritas Slices 250 g.|Slices||Almacen|https://www.carrefour.com.ar/papas-fritas-slices-250-g-692022/p|692022|84847|615.0|615.0
Duraznos amarillos en mitades Carrefour Light 800 g.|Carrefour||Almacen|https://www.carrefour.com.ar/duraznos-amarillos-en-mitades-carrefour-light-800-g-17486/p|601112|17486|506.54|506.54
Fideos spaghetti Arcor 500 g.|Arcor||Almacen|https://www.carrefour.com.ar/fideos-spaghetti-arcor-500-g/p|675053|40876|200.5|200.5
Puré de papas Chef bolsa 100 g.|Chef||Almacen|https://www.carrefour.com.ar/pure-de-papas-chef-bolsa-100-g-710603/p|710603|114799|233.92|233.92
Fideos cabello de ángel Lucchetti 500 g.|Lucchetti||Almacen|https://www.carrefour.com.ar/fideos-cabello-de-angel-lucchetti-500-g/p|597023|23644|319.0|319.0
Jugo de limón Minerva pet 250 cc.|Minerva||Almacen|https://www.carrefour.com.ar/jugo-de-limon-minerva-pet-250-cc/p|558711|4459|222.5|222.5
Harina de trigo 000 fortificada Blancaflor 1 kg.|Blancaflor||Almacen|https://www.carrefour.com.ar/harina-de-trigo-000-fortificada-blancaflor-1-kg/p|547752|44601|163.3|163.3
Caldo Maggi® sabor gallina 114 g.|Maggi|"Maggi® Caldo - Sabor GALLINA

Los caldos MAGGI son la alternativa más rica y saludable para realzar el sabor de todas tus comidas, porque son los menos salados del mercado. Usá los caldos MAGGI para reemplazar la sal de tus comidas.

Para pechugas sin piel más ricas sazonalas con caldo MAGGI de gallina y no le agregues sal."|Almacen|https://www.carrefour.com.ar/caldo-maggi-sabor-gallina-114-g-698050/p|698050|91647|228.5|228.5
Mayonesa Natura 237 g.|Natura||Almacen|https://www.carrefour.com.ar/mayonesa-natura-237-g/p|263810|4438|174.5|174.5
Flan vainilla Exquisita sobre 40 g.|Exquisita||Almacen|https://www.carrefour.com.ar/flan-vainilla-exquisita-sobre-40-g/p|684243|71350|101.0|101.0
Tomate perita cubeteado Arcor 400 g.|Arcor||Almacen|https://www.carrefour.com.ar/tomate-perita-cubeteado-arcor-400-g/p|358266|40532|244.0|244.0
Choclo cremoso Inalpa sin sal ida lata 300 g.|Inalpa||Almacen|https://www.carrefour.com.ar/choclo-cremoso-inalpa-sin-sal-ida-lata-300-g-695928/p|695928|88579|122.33|122.33
