fecha_relevamiento|producto|marca|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
20230527-190544|Toallitas húmedas antibacteriales Espadol Dettol 10 u.|Espadol|Perfumeria|https://www.carrefour.com.ar/toallitas-humedas-antibacteriales-espadol-dettol-10-u/p|490198|4156|221.5|221.5
20230527-190544|Crema corporal Dove nutrición esencial 400 ml.|Dove|Perfumeria|https://www.carrefour.com.ar/crema-corporal-dove-nutricion-esencial-400-cc-41140/p|530199|3448|961.0|961.0
20230527-190544|Antitranspirante en aerosol Old Spice vip 93 g.|Old Spice|Perfumeria|https://www.carrefour.com.ar/antitranspirante-en-aerosol-old-spice-vip-93-g/p|565658|14045|1070.0|1070.0
20230527-190544|Crema facial hidratante Nivea cuidado radiante y uniforme para todo tipo de piel 100 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-facial-hidratante-nivea-cuidado-radiante-y-uniforme-para-todo-tipo-de-piel-100-ml/p|626378|7177|937.0|937.0
20230527-190544|Toalla femenina Plenitud nocturna femme x 20 uni|Plenitud|Perfumeria|https://www.carrefour.com.ar/toalla-femenina-plenitud-nocturna-femme-x-20-uni-690111/p|690111|83693|4950.0|4950.0
20230527-190544|Crema depilatoria facial Veet 30 cc.|Veet|Perfumeria|https://www.carrefour.com.ar/crema-depilatoria-facial-veet-30-cc/p|593681|7116|710.0|710.0
20230527-190544|Agua micelar Dermaglós facial 200 cc.|Dermaglós|Perfumeria|https://www.carrefour.com.ar/agua-micelar-dermaglos-facial-200-cc-695051/p|695051|88278|1925.0|1925.0
20230527-190544|Shampoo Sedal jengibre y ricino 340 cc.|Sedal|Perfumeria|https://www.carrefour.com.ar/shampoo-sedal-jengibre-y-ricino-340-cc-715014/p|715014|121833|584.0|584.0
20230527-190544|Jabón Next AB 90 g. x 1 uni|Next|Perfumeria|https://www.carrefour.com.ar/jabon-next-ab-90-g-x-1-uni-665832/p|665832|21446|208.0|208.0
20230527-190544|Crema corporal Villeneuve piel seca 400 cc.|Villeneuve|Perfumeria|https://www.carrefour.com.ar/crema-corporal-villeneuve-piel-seca-400-cc-700372/p|700372|94754|631.0|631.0
20230527-190544|Shampoo Head &amp; Shoulders hidratación coco 375 cc.|Head &amp; Shoulders|Perfumeria|https://www.carrefour.com.ar/shampoo-head-y-shoulders-hidratacion-coco-375-cc-712773/p|712773|118432|1060.0|1060.0
